file_name,class_id,confidence,point1_x,point1_y,point2_x,point2_y,point3_x,point3_y,point4_x,point4_y
072248943.png,4,0.956948,1137,128,1389,128,1389,386,1137,386
072308411.png,13,0.797876,1155,273,1431,273,1431,524,1155,524
072308411.png,1,0.762424,1154,272,1432,272,1432,524,1154,524
072519498.png,23,0.937696,443,531,681,531,681,791,443,791
072544230.png,13,0.951626,986,99,1236,99,1236,327,986,327
072616883.png,31,0.942364,1113,129,1372,129,1372,375,1113,375
072624272.png,23,0.882838,838,471,1079,471,1079,729,838,729
072624272.png,27,0.725799,1277,427,1589,427,1589,869,1277,869
072638318.png,29,0.957811,1174,261,1431,261,1431,514,1174,514
072638318.png,6,0.897146,876,546,1162,546,1162,842,876,842
072655405.png,27,0.965364,465,588,735,588,735,895,465,895
072702036.png,1,0.848267,684,174,927,174,927,405,684,405
072911303.png,23,0.844791,764,195,988,195,988,433,764,433
072936873.png,11,0.755502,441,750,696,750,696,1028,441,1028
072954236.png,27,0.733339,867,510,1165,510,1165,793,867,793
072954236.png,23,0.562566,1210,284,1447,284,1447,531,1210,531
073006756.png,8,0.846077,780,338,1032,338,1032,591,780,591
073152586.png,29,0.949127,946,88,1191,88,1191,326,946,326
073242600.png,31,0.924965,1156,197,1417,197,1417,448,1156,448
073251387.png,7,0.986856,1090,110,1372,110,1372,398,1090,398
073315935.png,33,0.95423,859,521,1135,521,1135,818,859,818
073315935.png,26,0.669131,860,521,1135,521,1135,818,860,818
073539526.png,11,0.960035,1060,93,1339,93,1339,390,1060,390
073557654.png,12,0.913919,1067,35,1312,35,1312,252,1067,252
073557960.png,12,0.915967,1220,328,1484,328,1484,574,1220,574
073611725.png,11,0.957074,1084,160,1365,160,1365,467,1084,467
073626620.png,1,0.973056,908,728,1207,728,1207,1011,908,1011
073652331.png,21,0.911484,936,690,1245,690,1245,1057,936,1057
073836727.png,12,0.948789,1117,169,1372,169,1372,399,1117,399
073952331.png,33,0.96872,1184,291,1450,291,1450,562,1184,562
073952331.png,1,0.942635,409,366,683,366,683,676,409,676
074109833.png,12,0.969644,733,250,983,250,983,487,733,487
074120765.png,26,0.526579,1108,126,1371,126,1371,390,1108,390
074141262.png,17,0.573144,1096,113,1343,113,1343,343,1096,343
074141798.png,7,0.844989,749,305,1037,305,1037,626,749,626
074141798.png,17,0.616372,749,305,1037,305,1037,627,749,627
074152167.png,7,0.598503,945,528,1247,528,1247,863,945,863
074220513.png,12,0.826727,1079,130,1326,130,1326,361,1079,361
074234995.png,7,0.889822,1171,372,1466,372,1466,676,1171,676
074234995.png,6,0.881637,1171,372,1466,372,1466,676,1171,676
074430134.png,9,0.92612,1103,155,1358,155,1358,374,1103,374
074431424.png,33,0.957719,833,242,1087,242,1087,513,833,513
074454073.png,13,0.967811,759,148,1010,148,1010,382,759,382
074454738.png,13,0.981064,907,505,1183,505,1183,765,907,765
074519864.png,31,0.928504,1085,63,1334,63,1334,303,1085,303
074526281.png,7,0.848186,1417,754,1721,754,1721,1069,1417,1069
074530699.png,7,0.9603,719,201,994,201,994,495,719,495
074538938.png,13,0.978017,1059,136,1314,136,1314,370,1059,370
074556395.png,24,0.950677,435,427,675,427,675,728,435,728
074618306.png,27,0.952123,720,48,955,48,955,302,720,302
074618306.png,27,0.949695,926,712,1169,712,1169,1016,926,1016
074830954.png,3,0.871037,1050,49,1300,49,1300,312,1050,312
074910731.png,27,0.957269,367,167,606,167,606,438,367,438
074910731.png,24,0.94018,1104,105,1355,105,1355,386,1104,386
074915748.png,11,0.506014,1064,0,1316,0,1316,251,1064,251
074938704.png,24,0.73113,545,706,804,706,804,1024,545,1024
074938704.png,11,0.629733,545,706,805,706,805,1025,545,1025
074956839.png,29,0.956769,403,226,639,226,639,474,403,474
075059371.png,1,0.583445,810,476,1073,476,1073,731,810,731
075059371.png,8,0.52046,810,476,1074,476,1074,732,810,732
075131918.png,27,0.961129,402,329,640,329,640,607,402,607
075132058.png,26,0.954156,766,237,1019,237,1019,490,766,490
075135239.png,0,0.530527,762,213,1018,213,1018,445,762,445
075150865.png,18,0.969751,1181,343,1465,343,1465,601,1181,601
075153800.png,1,0.813969,930,672,1213,672,1213,937,930,937
075156208.png,11,0.910637,1129,149,1351,149,1351,380,1129,380
075203131.png,7,0.913013,886,635,1188,635,1188,941,886,941
075203131.png,26,0.797186,886,635,1188,635,1188,940,886,940
075214039.png,27,0.813881,883,588,1174,588,1174,884,883,884
075214039.png,17,0.723108,1081,92,1333,92,1333,357,1081,357
075214039.png,33,0.558657,1080,91,1333,91,1333,357,1080,357
075343870.png,33,0.96958,1169,245,1434,245,1434,522,1169,522
075348205.png,7,0.876385,699,201,984,201,984,510,699,510
075348205.png,17,0.769365,698,201,985,201,985,509,698,509
075352442.png,24,0.96208,749,216,978,216,978,491,749,491
075359372.png,26,0.850179,1166,246,1436,246,1436,516,1166,516
075440936.png,6,0.972007,471,606,743,606,743,877,471,877
075512372.png,27,0.955633,719,197,963,197,963,463,719,463
075512372.png,11,0.687223,1082,0,1327,0,1327,257,1082,257
075524214.png,6,0.936685,1416,748,1752,748,1752,1080,1416,1080
075524214.png,7,0.531065,1416,750,1752,750,1752,1079,1416,1079
075525438.png,16,0.797524,1295,541,1588,541,1588,813,1295,813
075525438.png,18,0.588652,1295,542,1588,542,1588,813,1295,813
075539870.png,18,0.700682,1213,493,1493,493,1493,755,1213,755
075542276.png,13,0.971468,1362,599,1655,599,1655,869,1362,869
075545742.png,1,0.97116,402,315,653,315,653,570,402,570
075545742.png,24,0.951208,837,383,1118,383,1118,670,837,670
075621146.png,1,0.948247,485,783,775,783,775,1068,485,1068
075628479.png,27,0.944171,727,89,963,89,963,348,727,348
075631960.png,18,0.953592,428,678,710,678,710,961,428,961
075704141.png,1,0.956078,758,327,1010,327,1010,570,758,570
075719409.png,17,0.580949,558,727,842,727,842,1067,558,1067
075756606.png,17,0.843068,1152,196,1425,196,1425,472,1152,472
075805469.png,10,0.934774,427,613,706,613,706,893,427,893
075810309.png,5,0.720002,377,312,657,312,657,610,377,610
075810309.png,11,0.690921,377,302,657,302,657,610,377,610
075810691.png,18,0.813861,1077,116,1336,116,1336,350,1077,350
075810691.png,19,0.806684,1077,116,1336,116,1336,349,1077,349
075817746.png,4,0.759398,793,328,1026,328,1026,571,793,571
075821739.png,16,0.832961,1357,669,1657,669,1657,942,1357,942
075825235.png,25,0.972045,751,245,1026,245,1026,545,751,545
075833492.png,25,0.964962,1235,386,1527,386,1527,697,1235,697
080030410.png,1,0.968176,459,240,722,240,722,481,459,481
080042046.png,1,0.837282,678,135,930,135,930,367,678,367
080108394.png,33,0.968645,1110,197,1380,197,1380,477,1110,477
080112611.png,17,0.928688,1176,266,1449,266,1449,544,1176,544
080113199.png,18,0.962508,907,742,1206,742,1206,1025,907,1025
080119232.png,23,0.944484,789,371,1019,371,1019,623,789,623
080136018.png,25,0.793911,826,410,1107,410,1107,707,826,707
080136018.png,28,0.67399,827,409,1107,409,1107,707,827,707
080154374.png,11,0.957852,754,196,1036,196,1036,498,754,498
080159744.png,33,0.95857,374,240,619,240,619,502,374,502
080221713.png,18,0.942529,803,377,1071,377,1071,627,803,627
080221923.png,16,0.911454,838,459,1114,459,1114,716,838,716
080221923.png,18,0.778872,838,459,1115,459,1115,716,838,716
080311442.png,33,0.941013,428,398,686,398,686,699,428,699
080319146.png,27,0.949297,384,216,622,216,622,483,384,483
080319671.png,24,0.947216,1430,688,1700,688,1700,1019,1430,1019
080326123.png,24,0.973834,782,343,1016,343,1016,639,782,639
080328944.png,6,0.94203,1205,505,1517,505,1517,822,1205,822
080328944.png,7,0.547029,1205,505,1517,505,1517,822,1205,822
080343016.png,11,0.938507,753,248,1039,248,1039,560,753,560
080404147.png,7,0.963704,1219,381,1521,381,1521,685,1219,685
080404147.png,17,0.532062,1219,380,1521,380,1521,685,1219,685
080420213.png,27,0.896192,755,322,985,322,985,572,755,572
080427095.png,19,0.923618,1142,172,1407,172,1407,419,1142,419
080555214.png,25,0.934669,733,299,998,299,998,588,733,588
080556004.png,25,0.953991,814,540,1100,540,1100,852,814,852
080641786.png,18,0.77448,446,600,721,600,721,876,446,876
080741885.png,26,0.876058,1060,66,1317,66,1317,296,1060,296
080753161.png,12,0.92533,1043,52,1292,52,1292,275,1043,275
080814286.png,13,0.969898,1171,244,1429,244,1429,487,1171,487
080823912.png,26,0.519822,1034,27,1276,27,1276,243,1034,243
080928385.png,33,0.967614,748,118,992,118,992,372,748,372
080957564.png,19,0.970276,1319,558,1613,558,1613,832,1319,832
081008531.png,21,0.981477,1219,352,1512,352,1512,682,1219,682
081048879.png,6,0.721425,1346,732,1661,732,1661,1017,1346,1017
081109652.png,31,0.804776,1129,181,1392,181,1392,432,1129,432
081110250.png,33,0.969645,724,153,970,153,970,405,724,405
081201087.png,13,0.976193,1097,128,1351,128,1351,361,1097,361
081246791.png,4,0.9612,719,152,960,152,960,410,719,410
081255978.png,1,0.775576,1112,470,1392,470,1392,723,1112,723
081255978.png,8,0.565855,1110,469,1393,469,1393,724,1110,724
081325956.png,20,0.946503,882,650,1172,650,1172,929,882,929
081325956.png,27,0.900208,1116,88,1380,88,1380,435,1116,435
081407619.png,18,0.967988,819,342,1088,342,1088,588,819,588
081423721.png,31,0.947657,727,176,979,176,979,428,727,428
081429989.png,33,0.971137,1121,169,1383,169,1383,450,1121,450
081601576.png,1,0.953972,875,630,1149,630,1149,896,875,896
081647348.png,22,0.941536,758,242,979,242,979,484,758,484
081649493.png,7,0.955978,1223,407,1517,407,1517,727,1223,727
081700590.png,31,0.933923,1087,151,1344,151,1344,398,1087,398
081706624.png,27,0.954655,1103,67,1348,67,1348,321,1103,321
081707559.png,27,0.960025,1345,546,1632,546,1632,846,1345,846
081711456.png,10,0.867401,476,693,763,693,763,976,476,976
081717116.png,1,0.975556,1291,538,1582,538,1582,802,1291,802
081723053.png,18,0.820336,830,552,1109,552,1109,823,830,823
081723053.png,19,0.72309,830,552,1109,552,1109,823,830,823
081728191.png,11,0.701444,1115,439,1439,439,1439,768,1115,768
081807922.png,24,0.957938,507,379,742,379,742,674,507,674
081920315.png,11,0.95781,811,249,1096,249,1096,561,811,561
081946762.png,3,0.931242,403,296,643,296,643,570,403,570
082012013.png,12,0.916598,1140,210,1400,210,1400,446,1140,446
082022893.png,27,0.958356,1103,119,1354,119,1354,384,1103,384
082101156.png,24,0.954511,1263,424,1512,424,1512,724,1263,724
082203561.png,11,0.965182,465,656,772,656,772,1016,465,1016
082220349.png,24,0.660749,514,682,800,682,800,974,514,974
082240995.png,31,0.871416,988,262,1262,262,1262,518,988,518
082255901.png,33,0.828843,762,151,1013,151,1013,427,762,427
082257489.png,27,0.965156,1204,323,1468,323,1468,602,1204,602
082323720.png,11,0.937261,1138,203,1427,203,1427,517,1138,517
082324798.png,31,0.912711,377,396,629,396,629,664,377,664
082337082.png,24,0.965504,1413,655,1684,655,1684,972,1413,972
082337082.png,21,0.882905,698,110,945,110,945,372,698,372
082337842.png,2,0.91083,1170,420,1398,420,1398,675,1170,675
082347585.png,20,0.970249,827,518,1106,518,1106,789,827,789
082525284.png,22,0.857989,485,744,740,744,740,1025,485,1025
082547601.png,3,0.941538,402,372,658,372,658,657,402,657
082550184.png,11,0.959778,992,565,1255,565,1255,834,992,834
082550612.png,18,0.894077,753,305,1015,305,1015,560,753,560
082628197.png,33,0.765459,1163,391,1445,391,1445,671,1163,671
082630403.png,32,0.644966,1025,13,1280,13,1280,269,1025,269
082653535.png,33,0.967373,1271,420,1544,420,1544,697,1271,697
082653535.png,11,0.909434,800,248,1027,248,1027,493,800,493
082705222.png,30,0.965653,688,142,933,142,933,374,688,374
082714039.png,16,0.598561,761,236,1007,236,1007,510,761,510
082723305.png,4,0.957438,1169,274,1430,274,1430,546,1169,546
082723305.png,6,0.914633,892,521,1172,521,1172,787,892,787
082903907.png,18,0.958887,418,476,685,476,685,742,418,742
082945545.png,33,0.771094,782,263,1039,263,1039,553,782,553
082945545.png,11,0.674502,1054,0,1309,0,1309,204,1054,204
082954356.png,24,0.97131,1390,626,1658,626,1658,937,1390,937
082959662.png,11,0.946599,654,54,902,54,902,339,654,339
082959662.png,11,0.79877,1220,298,1456,298,1456,543,1220,543
083008058.png,26,0.980801,1355,662,1660,662,1660,964,1355,964
083008058.png,1,0.960872,688,142,942,142,942,375,688,375
083008729.png,4,0.951719,721,126,963,126,963,383,721,383
083026406.png,4,0.911869,473,559,717,559,717,824,473,824
083105639.png,27,0.896479,794,287,1019,287,1019,529,794,529
083138802.png,18,0.841425,718,106,965,106,965,339,718,339
083140506.png,27,0.869003,932,132,1138,132,1138,360,932,360
083204323.png,7,0.979295,531,780,844,780,844,1080,531,1080
083222483.png,10,0.940335,1311,648,1608,648,1608,922,1311,922
083234358.png,12,0.959986,860,547,1135,547,1135,811,860,811
083235511.png,11,0.807493,1150,157,1380,157,1380,393,1150,393
083238992.png,22,0.892486,1270,599,1521,599,1521,867,1270,867
083240904.png,12,0.946641,1072,98,1318,98,1318,321,1072,321
083241811.png,12,0.710664,396,225,648,225,648,457,396,457
083315592.png,11,0.827726,458,483,694,483,694,749,458,749
083338359.png,25,0.967914,1091,137,1369,137,1369,427,1091,427
083401399.png,11,0.967428,1107,177,1396,177,1396,482,1107,482
083530891.png,30,0.888198,1122,240,1382,240,1382,479,1122,479
083532932.png,4,0.954236,698,215,947,215,947,478,698,478
083543463.png,12,0.939828,1090,146,1344,146,1344,371,1090,371
083603510.png,25,0.925385,1119,223,1399,223,1399,521,1119,521
083628662.png,7,0.634583,1036,112,1304,112,1304,346,1036,346
083637283.png,11,0.971706,1118,180,1404,180,1404,490,1118,490
083642466.png,17,0.766025,1116,146,1401,146,1401,447,1116,447
083740875.png,11,0.860212,830,309,1128,309,1128,639,830,639
083740875.png,16,0.713435,830,309,1127,309,1127,638,830,638
083742000.png,11,0.946084,345,269,624,269,624,581,345,581
083808936.png,11,0.944909,697,90,940,90,940,309,697,309
083835431.png,26,0.957009,1121,121,1393,121,1393,403,1121,403
083907736.png,21,0.972796,946,624,1258,624,1258,977,946,977
083925766.png,26,0.957758,760,201,1031,201,1031,489,760,489
083926585.png,13,0.973136,1075,161,1332,161,1332,396,1075,396
083955580.png,1,0.759722,725,331,981,331,981,572,725,572
083955580.png,8,0.726764,725,330,980,330,980,572,725,572
084006712.png,11,0.938809,1128,188,1420,188,1420,493,1128,493
084117386.png,4,0.977175,669,74,908,74,908,325,669,325
084132165.png,3,0.970313,398,176,639,176,639,443,398,443
084158522.png,17,0.931968,1088,59,1331,59,1331,286,1088,286
084247517.png,1,0.717504,418,430,690,430,690,702,418,702
084247517.png,30,0.697216,419,429,690,429,690,702,419,702
084309941.png,12,0.502377,687,118,930,118,930,345,687,345
084311901.png,12,0.805188,1293,503,1541,503,1541,767,1293,767
084311901.png,22,0.695268,1294,503,1540,503,1540,767,1294,767
084320151.png,11,0.923323,694,169,978,169,978,472,694,472
084351007.png,11,0.886644,1109,91,1331,91,1331,356,1109,356
084437814.png,8,0.84576,771,358,1026,358,1026,600,771,600
084438519.png,1,0.760732,922,790,1205,790,1205,1079,922,1079
084457871.png,21,0.97554,1237,355,1535,355,1535,685,1237,685
084504132.png,25,0.97293,723,227,993,227,993,523,723,523
084510254.png,6,0.64882,1084,167,1357,167,1357,416,1084,416
084510254.png,7,0.529911,1084,168,1357,168,1357,416,1084,416
084514392.png,12,0.896155,1268,372,1507,372,1507,624,1268,624
084519786.png,21,0.971202,680,27,939,27,939,313,680,313
084532777.png,24,0.969287,1188,251,1423,251,1423,535,1188,535
084541677.png,25,0.971847,1253,468,1554,468,1554,788,1253,788
084551078.png,22,0.831806,795,263,1021,263,1021,510,795,510
084551078.png,27,0.6959,795,263,1021,263,1021,510,795,510
084557871.png,12,0.966543,1150,198,1404,198,1404,430,1150,430
084559397.png,29,0.64551,748,255,1012,255,1012,505,748,505
084621887.png,31,0.963841,715,177,963,177,963,426,715,426
084647406.png,11,0.97485,863,512,1169,512,1169,878,863,878
084745958.png,31,0.917201,1119,169,1383,169,1383,420,1119,420
084815475.png,11,0.952437,1077,112,1361,112,1361,417,1077,417
084823424.png,1,0.966291,1065,80,1319,80,1319,310,1065,310
084832060.png,32,0.978982,1205,325,1483,325,1483,609,1205,609
084839322.png,1,0.965016,1087,113,1346,113,1346,343,1087,343
084840949.png,12,0.958271,1089,160,1341,160,1341,393,1089,393
084846410.png,27,0.958434,1239,385,1508,385,1508,672,1239,672
084849095.png,7,0.945151,849,491,1138,491,1138,802,849,802
084849095.png,17,0.63436,849,491,1137,491,1137,802,849,802
084920846.png,11,0.968232,699,140,976,140,976,441,699,441
084923207.png,11,0.970052,809,294,1101,294,1101,635,809,635
084923790.png,21,0.970911,1043,42,1311,42,1311,338,1043,338
084928807.png,11,0.877835,572,514,821,514,821,777,572,777
084957008.png,26,0.975716,443,501,725,501,725,813,443,813
085122053.png,16,0.847619,1132,212,1423,212,1423,527,1132,527
085131480.png,11,0.96014,693,191,973,191,973,496,693,496
085135466.png,25,0.96604,1145,299,1430,299,1430,605,1145,605
085135466.png,22,0.612787,883,611,1113,611,1113,940,883,940
085145375.png,12,0.620746,750,204,987,204,987,438,750,438
085150637.png,10,0.603969,1301,495,1589,495,1589,757,1301,757
085153850.png,17,0.971978,1072,136,1340,136,1340,418,1072,418
085209305.png,25,0.975433,1185,379,1479,379,1479,687,1185,687
085212689.png,1,0.962239,1070,79,1324,79,1324,309,1070,309
085227819.png,6,0.953949,958,23,1219,23,1219,250,958,250
085238944.png,23,0.772474,729,146,947,146,947,372,729,372
085458429.png,3,0.921591,1106,184,1366,184,1366,458,1106,458
085510199.png,18,0.970162,716,81,963,81,963,308,716,308
085510730.png,27,0.954308,719,137,962,137,962,401,719,401
085510730.png,13,0.529875,1231,327,1485,327,1485,585,1231,585
085513146.png,11,0.966693,405,529,717,529,717,901,405,901
085524718.png,10,0.918901,1129,298,1403,298,1403,549,1129,549
085525780.png,11,0.95769,1059,34,1332,34,1332,324,1059,324
085525780.png,11,0.945921,857,483,1128,483,1128,782,857,782
085540215.png,24,0.967584,424,433,670,433,670,733,424,733
085545580.png,16,0.888805,1147,235,1447,235,1447,549,1147,549
085556131.png,31,0.943602,728,202,979,202,979,454,728,454
085556350.png,11,0.967853,1124,196,1412,196,1412,505,1124,505
085620585.png,11,0.963071,793,258,1079,258,1079,573,793,573
085636462.png,4,0.964135,786,243,1015,243,1015,484,786,484
085648429.png,21,0.96207,390,139,655,139,655,435,390,435
085648429.png,25,0.55249,1049,0,1317,0,1317,255,1049,255
085648429.png,11,0.526047,1049,0,1318,0,1318,255,1049,255
085716818.png,21,0.971484,415,330,695,330,695,643,415,643
085720831.png,9,0.863617,401,222,652,222,652,462,401,462
085741120.png,11,0.959078,486,564,789,564,789,943,486,943
085746384.png,22,0.950634,1392,692,1653,692,1653,971,1392,971
085749102.png,13,0.944889,1107,95,1355,95,1355,327,1107,327
085802718.png,24,0.964192,927,571,1183,571,1183,882,927,882
085821211.png,25,0.977054,1130,309,1416,309,1416,617,1130,617
085821626.png,8,0.970655,784,387,1042,387,1042,632,784,632
085822587.png,6,0.880621,1102,196,1378,196,1378,445,1102,445
085827811.png,16,0.764979,757,303,1018,303,1018,550,757,550
085829425.png,23,0.954384,821,405,1055,405,1055,652,821,652
085906241.png,13,0.817268,1331,622,1621,622,1621,892,1331,892
090003275.png,11,0.787648,738,142,1001,142,1001,423,738,423
090003275.png,25,0.562656,737,142,1001,142,1001,423,737,423
090012968.png,26,0.627542,375,366,620,366,620,632,375,632
090026488.png,11,0.922711,400,356,696,356,696,679,400,679
090036257.png,11,0.972712,1045,43,1320,43,1320,337,1045,337
090040096.png,25,0.974332,692,151,954,151,954,434,692,434
090116243.png,24,0.957726,755,170,987,170,987,443,755,443
090141079.png,25,0.962078,1080,184,1352,184,1352,479,1080,479
090146225.png,17,0.91691,1163,287,1452,287,1452,596,1163,596
090202988.png,24,0.924242,1053,51,1275,51,1275,312,1053,312
090212259.png,4,0.944931,970,147,1210,147,1210,410,970,410
090212259.png,11,0.500394,970,147,1210,147,1210,412,970,412
090227087.png,11,0.54479,404,532,721,532,721,897,404,897
090321913.png,11,0.872317,1126,192,1417,192,1417,505,1126,505
090331355.png,24,0.751259,696,38,913,38,913,296,696,296
090335988.png,6,0.843415,1051,153,1319,153,1319,400,1051,400
090409803.png,32,0.964791,304,147,549,147,549,413,304,413
090448605.png,33,0.967302,1054,199,1301,199,1301,465,1054,465
090453226.png,22,0.884518,1347,629,1655,629,1655,933,1347,933
090505929.png,33,0.972283,702,125,948,125,948,383,702,383
090527490.png,11,0.967115,396,419,686,419,686,748,396,748
090712512.png,11,0.769745,1247,403,1528,403,1528,661,1247,661
090717668.png,23,0.959799,1151,291,1387,291,1387,537,1151,537
090719296.png,26,0.939311,600,265,849,265,849,514,600,514
090737325.png,11,0.953482,1068,20,1347,20,1347,311,1068,311
090737505.png,23,0.885496,856,438,1095,438,1095,702,856,702
090742203.png,11,0.966891,1098,172,1387,172,1387,514,1098,514
090743000.png,25,0.759784,1121,185,1395,185,1395,477,1121,477
090743027.png,11,0.964327,1319,595,1653,595,1653,988,1319,988
090751365.png,1,0.969762,874,655,1161,655,1161,930,874,930
090757193.png,7,0.985865,1070,166,1353,166,1353,457,1070,457
090816926.png,10,0.889261,539,734,829,734,829,1015,539,1015
090818154.png,30,0.955268,1345,627,1638,627,1638,901,1345,901
090833946.png,21,0.977847,418,434,703,434,703,767,418,767
090919433.png,7,0.927474,1231,407,1525,407,1525,728,1231,728
090925805.png,25,0.978546,426,621,713,621,713,948,426,948
090952901.png,1,0.955985,1211,485,1486,485,1486,734,1211,734
091000472.png,24,0.975842,1261,338,1502,338,1502,624,1261,624
091013790.png,11,0.97486,1231,327,1534,327,1534,662,1231,662
091043311.png,23,0.954888,1218,430,1467,430,1467,688,1218,688
091051771.png,30,0.969658,1156,246,1413,246,1413,490,1156,490
091056972.png,25,0.902888,443,699,739,699,739,1036,443,1036
091056972.png,27,0.685876,1096,388,1492,388,1492,796,1096,796
091059955.png,25,0.96724,1079,97,1347,97,1347,376,1079,376
091122044.png,1,0.955621,683,52,927,52,927,279,683,279
091155409.png,1,0.974047,1273,534,1568,534,1568,799,1273,799
091156101.png,24,0.972962,771,331,1015,331,1015,620,771,620
091156101.png,21,0.902727,1226,396,1555,396,1555,736,1226,736
091203931.png,12,0.597219,668,39,905,39,905,256,668,256
091252202.png,22,0.972159,748,194,967,194,967,431,748,431
091347169.png,32,0.876338,1083,129,1333,129,1333,386,1083,386
091350660.png,11,0.976158,859,419,1163,419,1163,753,859,753
091350809.png,13,0.935611,745,110,989,110,989,344,745,344
091351229.png,24,0.973537,1372,578,1637,578,1637,886,1372,886
091351229.png,17,0.906949,727,166,984,166,984,464,727,464
091351967.png,1,0.969049,712,148,962,148,962,381,712,381
091352104.png,17,0.979383,844,471,1126,471,1126,799,844,799
091352104.png,17,0.936625,1120,140,1392,140,1392,430,1120,430
091353331.png,26,0.953075,1453,779,1780,779,1780,1080,1453,1080
091353331.png,26,0.66132,862,593,1164,593,1164,927,862,927
091353331.png,17,0.585632,862,593,1164,593,1164,927,862,927
091356569.png,4,0.951054,933,645,1184,645,1184,911,933,911
091356569.png,7,0.631702,1147,208,1412,208,1412,488,1147,488
091358002.png,11,0.965631,398,312,683,312,683,633,398,633
091358002.png,13,0.56877,1206,368,1502,368,1502,648,1206,648
091404172.png,25,0.966133,695,145,953,145,953,428,695,428
091404172.png,5,0.95292,1001,0,1242,0,1242,208,1001,208
091411348.png,0,0.751797,1232,463,1511,463,1511,713,1232,713
091411729.png,8,0.778664,1336,657,1628,657,1628,926,1336,926
091416036.png,23,0.946264,1127,181,1353,181,1353,416,1127,416
091422941.png,23,0.963447,837,646,1098,646,1098,919,837,919
091502020.png,1,0.932782,731,137,965,137,965,362,731,362
091611858.png,1,0.529358,1114,165,1363,165,1363,396,1114,396
091642416.png,26,0.979981,1137,238,1415,238,1415,529,1137,529
091644468.png,7,0.519518,1122,251,1402,251,1402,548,1122,548
091644468.png,17,0.517923,1122,250,1402,250,1402,547,1122,547
091659641.png,21,0.924673,417,354,692,354,692,683,417,683
091659641.png,17,0.520104,417,356,691,356,691,682,417,682
091705547.png,11,0.960883,1086,111,1371,111,1371,412,1086,412
091730926.png,25,0.733722,1044,33,1304,33,1304,307,1044,307
091732912.png,1,0.957348,1081,83,1339,83,1339,309,1081,309
091732912.png,9,0.896325,1446,807,1767,807,1767,1080,1446,1080
091741241.png,10,0.945296,1127,276,1403,276,1403,526,1127,526
091802828.png,11,0.952383,742,236,1028,236,1028,548,742,548
091806371.png,24,0.953159,745,76,966,76,966,348,745,348
091809733.png,11,0.978981,1250,418,1559,418,1559,773,1250,773
091809733.png,11,0.969187,739,176,1016,176,1016,501,739,501
091818784.png,17,0.682234,1086,95,1354,95,1354,378,1086,378
091823403.png,4,0.786418,805,315,1060,315,1060,584,805,584
091833137.png,1,0.964958,683,102,934,102,934,333,683,333
091835196.png,13,0.956041,744,173,993,173,993,412,744,412
